strategy,sharpe,is_sharpe,oos_sharpe,cagr,ann_vol,max_dd,equity_mult,exposure,trades_per_yr
Donchian+Aroon,0.8967338516354246,0.8578613746896556,0.9689270027741784,0.46603007538231167,0.7176469194865511,-0.7574947480273189,262.0003782259136,0.7878953107960741,0.8931297709923665
SMA+Momentum,0.8129340185947925,0.8571996336784081,0.8345579915787896,0.37955047084838034,0.7170525568355101,-0.7417392549513515,108.13301424955928,0.7554525627044711,3.984732824427481
Seykota,0.49210015008957436,0.5243077219123528,0.48845724446644684,0.052166786208052374,0.11742958681476884,-0.16070674778913951,2.096300083906191,0.12203994794618658,6.114503816793893
Buy & hold SOXL,0.8990504539267976,1.0526480089232966,0.8469451092041343,0.4911317307029539,0.9177536879049976,-0.9046051189524613,335.4454854373201,1.0,0.0
Buy & hold SMH,1.022651977672049,1.0804801178515515,1.0491186084480624,0.2970978043830359,0.29792940126828826,-0.4530263070509234,44.09412849153552,1.0,0.0
