Date,Donchian+Aroon,SMA+Momentum,Seykota,EMA9/RSI14 MeanRev,HMM Regime,Buy & hold SOXL,Buy & hold SMH,Buy & hold SPY
2012-01-03,1.0,1.0,1.0,1.0,1.0,1.036593979405928,1.0138022033568521,1.015936231287561
2012-01-04,1.0,1.0,1.0,1.0,1.0,1.0358243869886425,1.0144594370760718,1.0175300578602315
2012-01-05,1.0,1.0,1.0,1.0,1.0,1.080507602478531,1.0269472468077956,1.0202390700735176
2012-01-06,1.0,1.0,1.0,1.0,1.0,1.0901387484218508,1.025632631742735,1.0176095574821
2012-01-09,1.0,1.0,1.0,1.0,1.0,1.1506146936818555,1.0423922392094533,1.0200796795914844
2012-01-10,1.0,1.0,1.0,1.0,1.0,1.186055684821816,1.0499507222337203,1.0289245602579353
2012-01-11,1.0,1.0,1.0,1.0,1.0,1.2006925499109102,1.0486361809819706,1.0294821530782432
2012-01-12,0.9995,1.0,1.0,1.0,1.0,1.241139411586911,1.0578376006776649,1.0319521969399685
2012-01-13,0.9343554827523222,1.0,1.0,1.0,1.0,1.1602455368446434,1.0381202938478373,1.0266135938876058
2012-01-17,0.9464537415329014,1.0,1.0,1.0,1.0,1.175268674197474,1.039434761286276,1.0305976517094961
2012-01-18,1.0857380934592664,1.0,1.0,1.0,1.0,1.3482264516793678,1.080841297543522,1.0419923106025186
2012-01-19,1.1524343556924002,1.0,1.0,1.0,1.0,1.4310472217274697,1.0985871246556236,1.0474900693939364
2012-01-20,1.169185959733615,1.0,1.0,1.0,1.0,1.4518486984486805,1.1064739292862573,1.0513946275939585
2012-01-23,1.1601885697330936,1.0,1.0,1.0,1.0,1.4406760968167995,1.1064739292862573,1.048685693628332
2012-01-24,1.1682553760225856,1.0,1.0,1.0,1.0,1.450693136548191,1.1107459484611841,1.0474900693939364
2012-01-25,1.1834543816673688,1.0,1.0,1.0,1.0,1.4695666582317053,1.1140324861238353,1.0562551374478821
2012-01-26,1.1468507315103693,1.0,1.0,1.0,1.0,1.424113698934265,1.1084457042572264,1.0508366435353544
2012-01-27,1.1626715080088472,1.0,1.0,1.0,1.0,1.4437593109744542,1.1094313333961232,1.050358628584574
2012-01-30,1.1220326869272237,1.0,1.0,1.0,1.0,1.3932956366524611,1.1018732194384102,1.046772929596277
2012-01-31,1.126685727398225,1.0,0.9999493418543401,1.0,1.0,1.3990735975451762,1.101544676392111,1.0463746490103432
2012-02-01,1.2008275127305708,1.0,1.0066164811807996,1.0,1.0,1.491139922529059,1.1196187512972684,1.0555379976502226
2012-02-02,1.2240932027489921,1.0,1.0087086293019127,1.0,1.0,1.5200303325536983,1.119947441970189,1.0572110891017834
2012-02-03,1.2758981749519946,1.0,1.0133671490007916,1.0,1.0,1.5843596899497072,1.1376931952689795,1.072031821758092
2012-02-06,1.2352603291972004,1.0,1.0097128240022784,1.0,1.0,1.5338972267498423,1.1258627668830967,1.071314760208092
2012-02-07,1.236500091513126,1.0,1.0098243086132157,1.0,1.0,1.5354367143649452,1.1291487878525723,1.0740236941737182
2012-02-08,1.283343210387792,1.0,1.0140366377151298,1.0,1.0,1.5936046393244239,1.1393362057537175,1.0772112690713997
2012-02-09,1.2945107025835612,1.0,1.0150408653050453,1.0,1.0,1.6074719876913657,1.143279755695656,1.0785657360542131
2012-02-10,1.2144761144642884,1.0,1.0078438205139726,1.0,1.0,1.508088214199665,1.1229049198933658,1.0705976986580918
2012-02-13,1.2271942544028303,1.0,1.0089874888322303,1.0,1.0,1.523881095360047,1.1268484698353043,1.0785657360542134
2012-02-14,1.2448764421550746,1.0,1.010577545084752,1.0,1.0,1.5458381339817477,1.1304635505442544,1.0772112690714
2012-02-15,1.2616278023645822,1.0,1.0120838974328088,1.0,1.0,1.5666393079224268,1.1334208808408097,1.0721913687354434
2012-02-16,1.3550015697809694,1.0,1.0204804569978492,1.0,1.0,1.6825871445895881,1.1564244300800457,1.0840641208269057
2012-02-17,1.3233602606157209,1.0,1.0176351381842994,1.0,1.0,1.6432962232897421,1.1544527289223872,1.086932367026906
2012-02-21,1.270314063106549,1.0,1.012865002316284,1.0,1.0,1.5774255615954382,1.1409792900517661,1.0874106949683235
2012-02-22,1.251081593359093,1.0,1.0111355382249698,1.0,1.0,1.5535434443510954,1.134406731419639,1.083904026115939
2012-02-23,1.2585269945424513,1.0,1.011805059828858,1.0,1.0,1.5627888478966099,1.1317777227294503,1.0886852710909718
2012-02-24,1.2492205478528875,1.0,1.010968185231956,1.0,1.0,1.5512324719403816,1.1304635505442546,1.091076050073807
2012-02-27,1.2504601882529593,1.0,1.01107965887971,1.0,1.0,1.5527718081652186,1.135063891325548,1.0929084537597413
2012-02-28,1.3137431723310173,1.0,1.0167703293963595,1.0,1.0,1.6313541049357085,1.1514953248125213,1.0960957939144447
2012-02-29,1.252942882697006,1.0,1.0113029131443503,1.0,1.0,1.5558547195423411,1.1337496453270415,1.0917929551284886
2012-03-01,1.2541824011812241,1.0,1.011414375828921,1.0,1.0,1.557393904376912,1.1337496453270415,1.0974502608972583
2012-03-02,1.2157175836021656,1.0,1.007955458609476,1.0,1.0,1.5096298212784922,1.1248767686776462,1.0941043127371148
2012-03-05,1.1248243161444589,1.0,0.9997313815190579,1.0,1.0,1.3967621709636648,1.1008872212329597,1.089641379240192
2012-03-06,1.090702141272969,1.0,0.9996663846054982,1.0,1.0,1.3543906091406868,1.096943745104332,1.0737050697049713
2012-03-07,1.1431282747503975,1.0,1.005914720859667,1.0,1.0,1.41949129994204,1.1120604158996232,1.0811953268932903
2012-03-08,1.1918297569824883,1.0,1.0117191397034397,1.0,1.0,1.4799668667263797,1.1222477599874578,1.0919521108675436
2012-03-09,1.2302970128786201,0.9995,1.0163038064272916,1.0,1.0,1.5277339776301198,1.1311204151969207,1.096175763022269
2012-03-12,1.1967941705437515,0.9722821082525828,1.0123108164718375,1.0,1.0,1.486131478358496,1.1209332925490187,1.0962551843964776
2012-03-13,1.2743475272092217,1.0352868779754407,1.0215539060903762,1.0,1.0,1.5824341571562663,1.1468946149646744,1.1160156135379404
2012-03-14,1.2628690276707515,1.0259616823774629,1.0201858569886708,1.0,1.0,1.5681806122207211,1.140650673192157,1.114820458789501
2012-03-15,1.3342169893004965,1.0839251553457303,1.0286893651770843,1.0,1.0,1.656777677868612,1.159710893929387,1.1212748734637539
2012-03-16,1.3370089842652924,1.0861933872751763,1.0290221252378182,1.0,1.0,1.6602446663506134,1.1593822032564662,1.1228276200152818
2012-03-19,1.369272186200089,1.112404188403904,1.0328673703656426,1.0,1.0,1.7003078293973999,1.17121270545566,1.1272294420902769
2012-03-20,1.3425927303631768,1.0907296530438604,1.0296876162985409,1.0,1.0,1.6671783405340843,1.1639827654776917,1.1239480482490716
2012-03-21,1.355621389981005,1.1013142071407205,1.0312404190866455,1.0,1.0,1.6833568127020055,1.1695694735309896,1.122107428558909
2012-03-22,1.3323554561308761,1.0824128356509255,1.0284675009193076,1.0,1.0,1.654466099896834,1.1629967672722408,1.1140242106082698
2012-03-23,1.3425927303631768,1.0907296530438602,1.0296876162985409,1.0,1.0,1.6671783405340839,1.1643116037772336,1.1176254808807713
2012-03-26,1.399361628464028,1.1368490153261765,1.0364535389517053,1.0,1.0,1.737671704001145,1.1823859001223234,1.1333120238874457
2012-03-27,1.395949447551635,1.1340769409520732,1.0360468628860393,1.0,1.0,1.7334345932359267,1.1817283711498607,1.1297904879797904
2012-03-28,1.3456953669231126,1.0932502518986036,1.0300573997484173,1.0,1.0,1.6710310714138903,1.167597772373331,1.1241884250585
2012-03-29,1.3500378877148278,1.0967781394622447,1.0305749570866678,1.0,1.0,1.6764234412990662,1.1698981642039104,1.122267288526898
2012-03-30,1.3655492417767023,1.1093796480593994,1.0324236563804616,1.0,1.0,1.6956848248441099,1.176470796649348,1.1269090179253654
2012-04-02,1.3643081383863864,1.1083713688994603,1.0322757371883622,1.0,1.0,1.6941436719360807,1.1800855821050553,1.135152252339312
2012-04-03,1.3013360397351759,1.0572124926744275,1.0247704946517777,1.0,1.0,1.6159474203439284,1.1636542962447036,1.1305106011885042
2012-04-04,1.2126148251263753,0.9851348942788888,1.0141241174097586,1.0,0.9995,1.505776939008418,1.1429510650227361,1.1193062406029457
2012-04-05,1.2240932027489917,0.9939674233846231,1.0140370646885766,1.0,1.0089610738678785,1.520030332553697,1.148537773076034,1.1187459091145617
2012-04-09,1.1732177170143359,0.9939674233846231,1.0068009335431518,1.0,0.967026861174669,1.456855174545784,1.1314491796831518,1.1061812912194002
2012-04-10,1.1117956565266298,0.9939674233846231,0.998064740099627,1.0,0.9163996148427068,1.380583698795742,1.1133752524046163,1.0876142953778722
2012-04-11,1.163601847888169,0.9939674233846231,1.0054332475334873,1.0,0.9591009633607425,1.4449145700944108,1.1304635505442548,1.0964174700419058
2012-04-12,1.22750489599797,0.9934704396729308,1.0145223172502194,1.0,1.0117731683035525,1.524266837757851,1.1508381649066124,1.1107433645006803
2012-04-13,1.1617411681295244,0.9402451369853367,1.0051685989987604,1.0,0.9575672946472898,1.4426040518544951,1.135063891325548,1.0975376635327176
2012-04-16,1.1636018478881687,0.9417510620076627,1.0054332475334873,1.0,0.9591009633607424,1.4449145700944106,1.1393362057537177,1.096817785066982
2012-04-17,1.217578994855931,0.985436997685138,1.0131105347116718,1.0,1.003591726030295,1.5119412478600023,1.1531384829238807,1.1130635640948094
2012-04-18,1.187177204174901,0.9608315721155952,1.008786421806469,1.0,0.9785329941427618,1.4741895113947274,1.1455801475262353,1.1093025121019784
2012-04-19,1.148401257337288,0.9294485959017379,1.0032712344317793,1.0,0.9465718486403925,1.4260390803374383,1.1383504289881994,1.1021797059218217
2012-04-20,1.0686775546448626,0.8644601843872035,0.9919319585555737,1.0,0.8808594400585704,1.3270413520240751,1.1186329007184395,1.1040205603549624
2012-04-23,1.0295910881279633,0.8644601843872035,0.9863726052905715,1.0,0.8486423481394035,1.2785053299592468,1.1028591438305504,1.0947367103197312
2012-04-24,1.0042583089586805,0.8644601843872035,0.9827712338911813,1.0,0.8281860794880442,1.2476873433725757,1.0900426434259058,1.0988990163095504
2012-04-25,1.0042583089586805,0.8644601843872035,0.9827171093277955,1.0,0.8834154875880804,1.3308921148304238,1.1130462664784524,1.1139441632527862
2012-04-26,1.0042583089586805,0.8644601843872035,0.9900174048627315,1.0,0.9429928193586257,1.4206471646230607,1.1383504289881996,1.1217071135338321
2012-04-27,1.0042583089586805,0.8644601843872035,0.9901113564322634,1.0,0.9437595532259853,1.4218022723527524,1.144265532461175,1.1235482027099508
2012-04-30,1.0042583089586805,0.8644601843872035,0.9882315000409478,1.0,0.9284181430912279,1.398689974611094,1.1367071232502186,1.119386209710769
2012-05-01,1.0042583089586805,0.8644601843872035,0.9895786276374755,1.0,0.9394119812682592,1.4152525238838944,1.141636597584297,1.1263491559229366
2012-05-02,1.0042583089586805,0.8644601843872035,0.991176518499209,1.0,0.9524522853966377,1.4348981359240833,1.1478806131701251,1.122987949469226
2012-05-03,1.0042583089586805,0.8644601843872035,0.9828110732107705,1.0,0.8841823219448064,1.3320473739503813,1.121918995501226,1.114424290890368
2012-05-04,1.0042583089586805,0.8644601843872035,0.9758243764402961,1.0,0.827164253363503,1.2461479314526054,1.0962868066383555,1.0964174700419054
2012-05-07,1.0042583089586805,0.8644601843872035,0.97519762835204,1.0,0.8220493948469009,1.2384422426075927,1.0943147364141432,1.0972177088537618
2012-05-08,1.0042583089586805,0.8644601843872035,0.9734431351231629,1.0,0.8077310669537673,1.2168712491642295,1.0824843080282602,1.0928162780170634
2012-05-09,1.0042583089586805,0.8644601843872035,0.9725972139075303,1.0,0.8008275479558983,1.2064708892792892,1.078212436479955,1.0863337724331148
